So11111111111111111111111111111111111111112,101,SOL,Wrapped SOL,9,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/So11111111111111111111111111111111111111112/logo.png,[old-registry],coingeckoId:wrapped-solana
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,101,USDC,USD Coin,6,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v/logo.png,stablecoin,coingeckoId:usd-coin
Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,101,USDT,USDT,6,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB/logo.svg,stablecoin,coingeckoId:tether
EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,101,$WIF,dogwifhat,6,https://bafkreibk3covs5ltyqxa272uodhculbr6kea6betidfwy3ajsav2vjzyum.ipfs.nftstorage.link,[community, solana-fm],coingeckoId:dogwifcoin
jupSoLaHXQiZZTSfEWMTRRgpnyFm8f6sZdosWBjx93v,101,JupSOL,Jupiter Staked SOL,9,https://static.jup.ag/jupSOL/icon.png,[community],coingeckoId:jupiter-staked-sol
AujTJJ7aMS8LDo3bFzoyXDwT3jBALUbu4VZhzZdTZLmG,101,$BEER,BEER,6,https://arweave.net/VLGzUkx9E4TBr3rGWehMfR_f42xa92VxA-JvkAIqzw0,[community],coingeckoId:beercoin-2
8wXtPeU6557ETkp9WHFY1n1EcU6NxDvbAggHGsMYiHsB,101,GME,GameStop,9,https://nftstorage.link/ipfs/bafybeiddrzeyne4n2hi7qkhyhqorc4jbs4565pset7fc3ifwvhvxfdrt7q/gamestop-logo.jpeg,[community],coingeckoId:gme
7BgBvyjrZX1YKz4oh9mjb8ZScatkkwb8DzFx7LoiVkM3,101,SLERF,SLERF,9,https://bafkreih44n5jgqpwuvimsxzroyebjunnm47jttqusb4ivagw3vsidil43y.ipfs.nftstorage.link/,[community],coingeckoId:slerf
3S8qX1MsMqRbiwKg2cQyx7nis1oHMgaCuc9c4VfvVdPN,101,MOTHER,MOTHER IGGY,6,https://cf-ipfs.com/ipfs/QmUFTFWsJiceS99iDMDm2NYuhvHXJVXTgmsDeR28X8njSn,[community],coingeckoId:mother-iggy
BZLbGTNCSFfoth2GYDtwr7e4imWzpR5jqcUuGEwr646K,101,IO,IO,8,https://bafkreicnqsbhpzxiasdm5esr7fqi3vcjvcbfefo4sq4y3ff747rfqf7w7i.ipfs.nftstorage.link,[community],coingeckoId:io
J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,101,JitoSOL,Jito Staked SOL,9,https://storage.googleapis.com/token-metadata/JitoSOL-256.png,[community, solana-fm],coingeckoId:jito-staked-sol
7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,101,POPCAT,Popcat,9,https://bafkreidvkvuzyslw5jh5z242lgzwzhbi2kxxnpkic5wsvyno5ikvpr7reu.ipfs.nftstorage.link,[community],coingeckoId:popcat
DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,101,Bonk,Bonk,5,https://arweave.net/hQiPZOsRZXGXBJd_82PhVdlM_hACsT_q6wqwf5cSY7I?ext=png,[community],coingeckoId:bonk
5oVNBeEEQvYi1cX3ir8Dx5n1P7pdxydbGF2X4TxVusJm,101,INF,Infinity,9,https://cloudflare-ipfs.com/ipfs/bafkreiflz2xxkfn33qjch2wj55bvbn33q3s4mmb6bye5pt3mpgy4t2wg4e,[old-registry],coingeckoId:socean-staked-sol
mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So,101,mSOL,Marinade staked SOL (mSOL),9,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So/logo.png,[old-registry, solana-fm],coingeckoId:msol
JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,101,JUP,Jupiter,6,https://static.jup.ag/jup/icon.png,[community],coingeckoId:jupiter-exchange-solana
2fUFhZyd47Mapv9wcfXh5gnQwFXtqcYu9xAN4THBpump,101,RNT,REAL NIGGER TATE,6,https://cf-ipfs.com/ipfs/QmUnhx14xmKQnyRk3Bqj31a5xKJNVkDH2UzFAizBRPYw2r,[community],coingeckoId:real-nigger-tate
bSo13r4TkiE4KumL71LsHTPpL2euBYLFx6h9HP3piy1,101,bSOL,BlazeStake Staked SOL (bSOL),9,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/bSo13r4TkiE4KumL71LsHTPpL2euBYLFx6h9HP3piy1/logo.png,[old-registry, solana-fm],coingeckoId:blazestake-staked-sol
MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,101,MEW,cat in a dogs world,5,https://bafkreidlwyr565dxtao2ipsze6bmzpszqzybz7sqi2zaet5fs7k53henju.ipfs.nftstorage.link/,[community],coingeckoId:cat-in-a-dogs-world
27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4,101,JLP,Jupiter Perps,6,https://static.jup.ag/jlp/icon.png,[community],coingeckoId:jupiter-perpetuals-liquidity-provider-token
3psH1Mj1f7yUfaD5gh6Zj7epE8hhrMkMETgv5TshQA4o,101,boden,jeo boden,9,https://bafkreid2t4f3i36tq4aowwaaa5633ggslefthxfdudaimog6unwu36umha.ipfs.nftstorage.link/,[community],coingeckoId:jeo-boden
5mbK36SZ7J19An8jFochhQS4of8g6BwUjbeCSxBSoWdp,101,$michi,michi,6,https://i.ibb.co/GxG0314/5mb-K36-SZ7-J19-An8j-Fochh-QS4of8g6-Bw-Ujbe-CSx-BSo-Wdp.png,[community],coingeckoId:michicoin
5z3EqYQo9HiCEs3R84RCDMu2n7anpDMxRhdK8PSWmrRC,101,PONKE,PONKE,9,https://i.imgur.com/qgEcBin.jpg,[community],coingeckoId:ponke
FU1q8vJpZNUrmqsciSjp8bAKKidGsLmouB8CBdf8TKQv,101,tremp,doland tremp,9,https://bafkreia5oynseyky72us6y7uzbas2uxoosujxvbnnuvscozetprbdinmey.ipfs.nftstorage.link/,[community],coingeckoId:donald-tremp
7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs,101,ETH,Ether (Portal),8,https://raw.githubusercontent.com/wormhole-foundation/wormhole-token-list/main/assets/ETH_wh.png,[wormhole, old-registry],coingeckoId:ethereum-wormhole
HhJpBhRRn4g56VsyLuT8DL5Bv31HkXqsrahTTUCZeZg4,101,$MYRO,Myro,9,https://i.ibb.co/9nr3xFp/MYRO-200x200.png,[community],coingeckoId:myro
3NZ9JMVBmGAqocybic2c7LQCJScmgsAZ6vQqTDzcqmJh,101,WBTC,Wrapped BTC (Portal),8,https://raw.githubusercontent.com/wormhole-foundation/wormhole-token-list/main/assets/WBTC_wh.png,[wormhole, community, solana-fm],coingeckoId:wrapped-btc-wormhole
25hAyBQfoDhfWx9ay6rarbgvWGwDdNqcHsXS3jQ3mTDJ,101,MANEKI,MANEKI,5,https://img.fotofolio.xyz/?url=https%3A%2F%2Fi.ibb.co%2FJnz56gp%2FManeki-PFP.png,[community],coingeckoId:maneki
